ID,name,type,description,instructions,unit
550e8400-e29b-41d4-a716-446655440000,Great White Shark,Additive,Premium microbial inoculant for enhanced root growth,Apply 1 teaspoon per gallon of water every week.,ml
550e8400-e29b-41d4-a716-446655440001,Base A,Nutrient,Essential nutrient mix for the vegetative stage of growth,Use 5 ml per gallon of water during the vegetative stage.,ml
550e8400-e29b-41d4-a716-446655440002,Base B,Nutrient,Complementary nutrient mix for the flowering stage,Use 5 ml per gallon of water during the flowering stage.,ml
550e8400-e29b-41d4-a716-446655440003,Vege,Nutrient,Complete nutrient formula for vigorous vegetative growth,Apply 10 ml per gallon of water every week.,ml
550e8400-e29b-41d4-a716-446655440004,Silica,Additive,Enhances plant strength and resistance,Use 2 ml per gallon of water every 2 weeks.,ml
550e8400-e29b-41d4-a716-446655440005,Mycorrhizae x Trichoderma,Additive,Beneficial fungi to improve root health and nutrient uptake,Apply 1 tablespoon per plant when planting.,ml
550e8400-e29b-41d4-a716-446655440006,PhitoNat Plus,Additive,Advanced plant health supplement for overall vitality,Use 5 ml per gallon of water every 2 weeks.,ml
550e8400-e29b-41d4-a716-446655440007,Big Bud,Nutrient,Stimulates flower development for larger buds,Use 10 ml per gallon of water during flowering.,ml
550e8400-e29b-41d4-a716-446655440008,Bloom,Nutrient,Specialized nutrient formula to enhance flowering,Apply 15 ml per gallon of water during the flowering stage.,ml
550e8400-e29b-41d4-a716-446655440009,Bud Candy,Nutrient,Enhances flavor and aroma of flowers,Use 5 ml per gallon of water during the last 4 weeks of flowering.,ml
550e8400-e29b-41d4-a716-446655440010,Flawless Finish,Additive,Clears out residues and improves the final quality of harvest,Apply 10 ml per gallon of water during the last week before harvest.,ml
